Ring_No,Ringed_date,Ringed_day,Ringed_month,Ringed_year,EurAgeCode,EurAgeText,SEX
119359,6/27/2003,27,6,2003,1,Pullus,M
119360,6/27/2003,27,6,2003,1,Pullus,M
119361,6/30/2003,30,6,2003,1,Pullus,M
119362,6/30/2003,30,6,2003,1,Pullus,M
119363,6/30/2003,30,6,2003,1,Pullus,M
119364,6/30/2003,30,6,2003,1,Pullus,M
119365,7/1/2003,1,7,2003,1,Pullus,M
119366,7/1/2003,1,7,2003,1,Pullus,M
119367,7/2/2003,2,7,2003,1,Pullus,M
119368,7/2/2003,2,7,2003,1,Pullus,M
119369,7/2/2003,2,7,2003,1,Pullus,F
119371,6/19/2004,19,6,2004,1,Pullus,M
119372,6/19/2004,19,6,2004,1,Pullus,M
119373,6/19/2004,19,6,2004,1,Pullus,M
119374,6/19/2004,19,6,2004,1,Pullus,M
119375,6/19/2004,19,6,2004,1,Pullus,M
119376,6/19/2004,19,6,2004,1,Pullus,M
119377,6/19/2004,19,6,2004,1,Pullus,M
119378,6/19/2004,19,6,2004,1,Pullus,M
119379,6/19/2004,19,6,2004,1,Pullus,M
119380,6/19/2004,19,6,2004,1,Pullus,M
119381,6/20/2004,20,6,2004,1,Pullus,M
119382,6/20/2004,20,6,2004,1,Pullus,M
119383,6/20/2004,20,6,2004,1,Pullus,M
119384,6/20/2004,20,6,2004,1,Pullus,M
119385,6/20/2004,20,6,2004,1,Pullus,M
119386,6/20/2004,20,6,2004,1,Pullus,M
119387,6/21/2004,21,6,2004,1,Pullus,M
119388,6/21/2004,21,6,2004,1,Pullus,M
119389,6/21/2004,21,6,2004,1,Pullus,M
119390,6/22/2004,22,6,2004,1,Pullus,M
119391,6/23/2004,23,6,2004,1,Pullus,M
119392,6/23/2004,23,6,2004,1,Pullus,M
119393,6/24/2004,24,6,2004,1,Pullus,M
119394,6/24/2004,24,6,2004,1,Pullus,M
119395,6/24/2004,24,6,2004,1,Pullus,M
119396,6/24/2004,24,6,2004,1,Pullus,M
119397,6/25/2004,25,6,2004,1,Pullus,M
119398,6/25/2004,25,6,2004,1,Pullus,M
119399,6/26/2004,26,6,2004,1,Pullus,M
119400,6/26/2004,26,6,2004,1,Pullus,M
123501,6/24/2000,24,6,2000,1,Pullus,M
123502,6/25/2000,25,6,2000,1,Pullus,M
123503,6/25/2000,25,6,2000,1,Pullus,F
123504,6/25/2000,25,6,2000,1,Pullus,M
123505,6/28/2000,28,6,2000,1,Pullus,0
123506,6/29/2000,29,6,2000,1,Pullus,M
123507,6/29/2000,29,6,2000,1,Pullus,M
123508,6/19/2001,19,6,2001,1,Pullus,M
123509,6/19/2001,19,6,2001,1,Pullus,M
123510,6/20/2001,20,6,2001,1,Pullus,0
123511,6/20/2001,20,6,2001,1,Pullus,0
123512,6/22/2001,22,6,2001,1,Pullus,M
123513,6/25/2001,25,6,2001,1,Pullus,M
123514,6/25/2001,25,6,2001,1,Pullus,M
123515,6/26/2001,26,6,2001,1,Pullus,M
123516,6/26/2001,26,6,2001,1,Pullus,M
123517,6/26/2001,26,6,2001,1,Pullus,M
123518,6/26/2001,26,6,2001,1,Pullus,M
123519,6/26/2001,26,6,2001,1,Pullus,M
123520,6/27/2001,27,6,2001,1,Pullus,M
123521,6/27/2001,27,6,2001,1,Pullus,M
123522,6/28/2001,28,6,2001,1,Pullus,M
123523,6/20/2002,20,6,2002,1,Pullus,M
123524,6/20/2002,20,6,2002,1,Pullus,M
123525,6/21/2002,21,6,2002,1,Pullus,M
123526,6/21/2002,21,6,2002,1,Pullus,M
123527,6/23/2002,23,6,2002,1,Pullus,M
123528,6/23/2002,23,6,2002,1,Pullus,M
123529,6/24/2002,24,6,2002,1,Pullus,M
123530,6/26/2002,26,6,2002,1,Pullus,M
123531,6/26/2002,26,6,2002,1,Pullus,M
123532,6/26/2002,26,6,2002,1,Pullus,M
123533,6/26/2002,26,6,2002,1,Pullus,M
123534,6/27/2002,27,6,2002,1,Pullus,M
123535,6/28/2002,28,6,2002,1,Pullus,M
123536,6/28/2002,28,6,2002,1,Pullus,M
123537,7/4/2002,4,7,2002,1,Pullus,M
123538,7/4/2002,4,7,2002,1,Pullus,M
123539,6/22/2003,22,6,2003,1,Pullus,0
123540,6/22/2003,22,6,2003,1,Pullus,0
123541,6/22/2003,22,6,2003,1,Pullus,0
123542,6/23/2003,23,6,2003,1,Pullus,M
123543,6/23/2003,23,6,2003,1,Pullus,M
123544,6/23/2003,23,6,2003,1,Pullus,M
123545,6/24/2003,24,6,2003,1,Pullus,M
123546,6/24/2003,24,6,2003,1,Pullus,M
123547,6/24/2003,24,6,2003,1,Pullus,M
123548,6/24/2003,24,6,2003,1,Pullus,M
123549,6/24/2003,24,6,2003,1,Pullus,M
123550,6/24/2003,24,6,2003,1,Pullus,M
123952,6/30/2007,30,6,2007,1,Pullus,M
123955,6/16/2008,16,6,2008,1,Pullus,M
123956,6/16/2008,16,6,2008,1,Pullus,M
123957,6/16/2008,16,6,2008,1,Pullus,M
123958,6/18/2008,18,6,2008,1,Pullus,M
123959,6/18/2008,18,6,2008,1,Pullus,M
123960,6/18/2008,18,6,2008,1,Pullus,M
123961,6/18/2008,18,6,2008,1,Pullus,M
123962,6/21/2008,21,6,2008,1,Pullus,M
123963,6/21/2008,21,6,2008,1,Pullus,M
123964,6/21/2008,21,6,2008,1,Pullus,M
123965,6/21/2008,21,6,2008,1,Pullus,M
123966,6/24/2008,24,6,2008,1,Pullus,M
123967,6/25/2008,25,6,2008,1,Pullus,M
123968,6/25/2008,25,6,2008,1,Pullus,M
123969,6/26/2008,26,6,2008,1,Pullus,M
123970,6/26/2008,26,6,2008,1,Pullus,M
123971,6/27/2008,27,6,2008,1,Pullus,M
123972,6/27/2008,27,6,2008,1,Pullus,M
123973,6/27/2008,27,6,2008,1,Pullus,M
123974,6/27/2008,27,6,2008,1,Pullus,M
123975,6/27/2008,27,6,2008,1,Pullus,M
123976,6/27/2008,27,6,2008,1,Pullus,M
123978,6/16/2009,16,6,2009,1,Pullus,0
123979,6/20/2009,16,6,2009,1,Pullus,0
123980,6/20/2009,16,6,2009,1,Pullus,M
123981,6/20/2009,16,6,2009,1,Pullus,M
123982,6/21/2009,21,6,2009,1,Pullus,M
123983,6/21/2009,21,6,2009,1,Pullus,M
123984,6/22/2009,22,6,2009,1,Pullus,M
123985,6/22/2009,22,6,2009,1,Pullus,M
123986,6/22/2009,22,6,2009,1,Pullus,M
123987,6/23/2009,23,6,2009,1,Pullus,M
123988,6/23/2009,23,6,2009,1,Pullus,M
123989,6/23/2009,23,6,2009,1,Pullus,M
123990,6/23/2009,23,6,2009,1,Pullus,M
123991,6/23/2009,23,6,2009,1,Pullus,M
123992,6/23/2009,23,6,2009,1,Pullus,M
123993,6/23/2009,23,6,2009,1,Pullus,M
123994,6/24/2009,24,6,2009,1,Pullus,M
123995,6/24/2009,24,6,2009,1,Pullus,M
123996,6/24/2009,24,6,2009,1,Pullus,M
123997,6/24/2009,24,6,2009,1,Pullus,M
123998,6/26/2009,26,6,2009,1,Pullus,M
123999,6/26/2009,26,6,2009,1,Pullus,M
124000,6/26/2009,26,6,2009,1,Pullus,M
124001,6/16/2010,16,6,2010,1,Pullus,0
124002,6/16/2010,16,6,2010,1,Pullus,0
124003,6/16/2010,16,6,2010,1,Pullus,0
124004,6/16/2010,16,6,2010,1,Pullus,0
124005,6/16/2010,16,6,2010,1,Pullus,0
124006,6/17/2010,17,6,2010,1,Pullus,0
124007,6/17/2010,17,6,2010,1,Pullus,0
124008,6/17/2010,17,6,2010,1,Pullus,0
124009,6/18/2010,18,6,2010,1,Pullus,0
124010,6/19/2010,19,6,2010,1,Pullus,0
124011,6/19/2010,19,6,2010,1,Pullus,0
124012,6/20/2010,20,6,2010,1,Pullus,0
124013,6/20/2010,20,6,2010,1,Pullus,0
124014,6/20/2010,20,6,2010,1,Pullus,0
124015,6/21/2010,21,6,2010,1,Pullus,0
124016,6/21/2010,21,6,2010,1,Pullus,0
124017,6/23/2010,23,6,2010,1,Pullus,0
124018,6/23/2010,23,6,2010,1,Pullus,0
124019,6/23/2010,23,6,2010,1,Pullus,0
124020,6/25/2010,25,6,2010,1,Pullus,0
124021,6/16/2011,16,6,2011,1,Pullus,M
124022,6/16/2011,16,6,2011,1,Pullus,M
124023,6/16/2011,16,6,2011,1,Pullus,M
124024,6/16/2011,16,6,2011,1,Pullus,M
124025,6/17/2011,17,6,2011,1,Pullus,M
124026,6/18/2011,18,6,2011,1,Pullus,M
124027,6/19/2011,19,6,2011,1,Pullus,M
124028,6/21/2011,21,6,2011,1,Pullus,M
124029,6/21/2011,21,6,2011,1,Pullus,M
124030,6/22/2011,22,6,2011,1,Pullus,M
124031,6/23/2011,23,6,2011,1,Pullus,M
124032,6/23/2011,23,6,2011,1,Pullus,M
124033,6/23/2011,23,6,2011,1,Pullus,0
124034,6/25/2011,25,6,2011,1,Pullus,M
